#   ChipID,                                                        Image,                 Name,  roi[tl_x  tl_y  w  h],  theta
36,   S2__Station30__Camera2__CAM41033__2017-04-15__04-08-03.JPG,      Male_2_63_Right,      [544 513 754 387],0.0
37,   S2__Station31__Camera1__CAM44280__2017-08-08__12-30-38.JPG,      Male_2_63_Right,  [  35  260 1368 1243],0.0
38,   S2__Station31__Camera2__CAM43188__2017-04-25__02-23-09.JPG,      Male_2_63_Right,  [  79  626 1238  512],0.0
39,   S2__Station33__Camera1__CAM40268__2017-05-07__02-06-58.JPG,      Male_2_63_Right,      [595 513 511 277],0.0
40,   S2__Station37__Camera1__CAM41968__2017-05-18__03-59-22.JPG,      Male_2_63_Right,  [  59  336 1489  976],0.0
41,   S2__Station37__Camera2__CAM42281__2017-04-11__19-27-47.JPG,      Male_2_63_Right,      [426 577 850 621],0.0
42,   S2__Station37__Camera2__CAM42281__2017-04-12__02-28-30.JPG,      Male_2_63_Right,      [426 577 850 621],0.0
43,   S2__Station38__Camera1__CAM44275__2017-04-27__23-58-06.JPG,      Male_2_63_Right,  [  55  535 1484  808],0.0
44,   S9__Station13__Camera1__CAM63828__2017-02-26__03-18-55.JPG,       Male_9_4_Right,  [  26  268 1469  919],0.0
45,   S9__Station13__Camera1__CAM63828__2017-04-07__02-57-15.JPG,       Male_9_4_Right,      [535 462 782 405],0.0
46,   S9__Station14__Camera1__CAM51709__2017-04-06__02-50-20.JPG,       Male_9_4_Right,      [327 331 845 399],0.0
47,   S9__Station14__Camera2__CAM52101__2017-03-21__23-34-37.JPG,       Male_9_4_Right,  [  65  605 1282  562],0.0
48,   S9__Station15__Camera1__CAM52135__2017-03-20__02-39-24.JPG,       Male_9_4_Right,      [594 549 605 379],0.0
49,    S9__Station1__Camera1__CAM51729__2017-03-26__18-50-51.JPG,       Male_9_4_Right,  [  50  462 1350  615],0.0
50,    S9__Station1__Camera2__CAM50790__2017-04-05__18-49-48.JPG,       Male_9_4_Right,  [ 216  645 1054  482],0.0
51,    S9__Station2__Camera1__CAM63790__2017-02-27__18-47-38.JPG,       Male_9_4_Right,      [471 679 893 409],0.0
52,    S9__Station2__Camera2__CAM63753__2017-03-20__14-31-06.JPG,       Male_9_4_Right,  [ 103  675 1052  479],0.0
53,    S9__Station3__Camera2__CAM63801__2017-02-18__18-02-05.JPG,       Male_9_4_Right,  [ 122  639 1138  548],0.0
54,    S9__Station3__Camera2__CAM63801__2017-03-21__02-15-10.JPG,       Male_9_4_Right,      [379 662 911 413],0.0
55,    S9__Station5__Camera1__CAM51670__2017-03-07__18-38-14.JPG,       Male_9_4_Right,  [ 319  652 1005  393],0.0
56,    S9__Station5__Camera2__CAM51545__2017-03-17__03-47-01.JPG,       Male_9_4_Right,  [  47  722 1372  588],0.0
57,   S3__Station20__Camera1__CAM41516__2017-07-03__00-55-53.JPG,      Male_3_15_Right,      [495 666 856 520],0.0
58,   S3__Station20__Camera2__CAM40253__2017-06-07__18-04-58.JPG,      Male_3_15_Right,      [434 579 762 645],0.0
59,   S3__Station20__Camera2__CAM40253__2017-06-20__17-07-31.JPG,      Male_3_15_Right,      [228 671 447 545],0.0
60,   S3__Station20__Camera2__CAM40253__2017-06-20__17-07-34.JPG,      Male_3_15_Right,  [ 892  728 1053  716],0.0
61,   S3__Station20__Camera2__CAM40253__2017-06-28__08-51-27.JPG,      Male_3_15_Right,      [372 730 931 663],0.0
62,   S3__Station24__Camera4__CAM44289__2017-06-21__00-19-21.JPG,      Male_3_15_Right,  [ 310  522 1020  440],0.0
63,   S3__Station24__Camera4__CAM44289__2017-06-29__04-28-28.JPG,      Male_3_15_Right,  [  45  569 1427  589],0.0
64,   S3__Station28__Camera1__CAM40793__2017-07-10__05-35-30.JPG,      Male_3_15_Right,  [  60   21 1766 1078],0.0
65,   S3__Station28__Camera2__CAM40658__2017-07-15__17-52-15.JPG,      Male_3_15_Right,  [ 143  489 1265  511],0.0
66,   S3__Station31__Camera2__CAM44198__2014-04-20__18-50-39.JPG,      Male_3_15_Right,      [ 21 182 456 222],0.0
67,   S3__Station38__Camera1__CAM41107__2015-06-09__21-23-48.JPG,      Male_3_15_Right,      [372 315 425 183],0.0
68,   S3__Station28__Camera2__CAM44279__2016-07-08__23-18-58.JPG,      Male_3_15_Right,      [147 230 495 227],0.0
69,   S2__Station17__Camera2__CAM41411__2014-05-03__18-40-49.JPG,      Male_2_17_Right,      [ 24 108 500 280],0.0
70,    S2__Station7__Camera2__CAM52018__2015-05-24__00-51-54.JPG,      Male_2_17_Right,      [105 263 397 159],0.0
71,   S2__Station16__Camera2__CAM40448__2016-04-20__18-15-11.JPG,      Male_2_17_Right,      [ 20 206 542 289],0.0
72,   S2__Station11__Camera2__CAM40311__2017-05-17__03-28-05.JPG,      Male_2_17_Right,      [634 620 604 292],0.0
73,   S2__Station15__Camera1__CAM44262__2017-04-22__21-18-51.JPG,      Male_2_17_Right,  [  51  388 1465 1091],0.0
74,   S2__Station16__Camera2__CAM43197__2017-05-11__19-35-32.JPG,      Male_2_17_Right,      [457 503 655 266],0.0
75,   S2__Station17__Camera1__CAM41516__2017-04-12__20-54-37.JPG,      Male_2_17_Right,      [424 604 841 370],0.0
76,   S2__Station17__Camera3__CAM43217__2017-05-12__06-38-55.JPG,      Male_2_17_Right,      [258 688 901 385],0.0
77,   S2__Station21__Camera1__CAM40055__2017-04-22__17-28-37.JPG,      Male_2_17_Right,  [ 867  542 1158  935],0.0
78,    S2__Station7__Camera1__CAM44186__2017-04-17__13-59-12.JPG,      Male_2_17_Right,  [ 255  772 1160  458],0.0
79,    S2__Station7__Camera1__CAM44186__2017-04-28__20-43-15.JPG,      Male_2_17_Right,  [  29  662 1643  859],0.0
80,   S7__Station13__Camera1__CAM40175__2017-12-17__03-28-28.JPG,      Male_7_70_Right,      [383 605 808 335],0.0
81,   S7__Station13__Camera2__CAM41828__2018-01-17__15-36-05.JPG,      Male_7_70_Right,      [560 703 505 184],0.0
82,    S7__Station1__Camera1__CAM40793__2017-12-11__16-38-38.JPG,      Male_7_70_Right,  [  53  509 1315  773],0.0
83,    S7__Station2__Camera2__CAM41666__2018-01-03__19-31-59.JPG,      Male_7_70_Right,      [  3 376 484 796],0.0
84,   S7__Station37__Camera2__CAM40327__2017-12-26__20-16-39.JPG,      Male_7_70_Right,  [ 299  560 1156  378],0.0
85,   S7__Station37__Camera2__CAM40327__2017-12-26__23-22-58.JPG,      Male_7_70_Right,      [382 520 976 362],0.0
86,    S7__Station9__Camera1__CAM40336__2017-12-11__02-20-07.JPG,      Male_7_70_Right,      [568 502 307 223],0.0
87,    S7__Station9__Camera2__CAM43217__2017-12-11__02-21-13.JPG,      Male_7_70_Right,  [  51  337 1565  925],0.0
88,    S7__Station1__Camera2__CAM40304__2017-12-11__16-27-23.JPG,      Male_7_70_Right,  [  35   14 1035 1509],0.0
89,    S7__Station1__Camera2__CAM40304__2017-12-11__16-27-30.JPG,      Male_7_70_Right,  [1024  599   92  193],0.0
90,  S35__Station12__Camera1__CAM62811__2017-04-03__06-17-19.JPG,      Male_35_1_Right,      [562 582 572 370],0.0
91,  S35__Station12__Camera2__CAM62801__2017-03-16__22-23-23.JPG,      Male_35_1_Right,  [1048  630  397  215],0.0
92,  S35__Station13__Camera2__CAM62794__2017-03-23__06-12-03.JPG,      Male_35_1_Right,  [  27  406 1651  870],0.0
93,  S35__Station17__Camera1__CAM51517__2017-03-04__01-06-27.JPG,      Male_35_1_Right,  [1831   87  216  424],0.0
94,  S35__Station17__Camera1__CAM51517__2017-03-17__22-19-54.JPG,      Male_35_1_Right,  [1626  256  419  393],0.0
95,  S35__Station17__Camera1__CAM51517__2017-03-25__18-29-08.JPG,      Male_35_1_Right,  [1851  319  195  303],0.0
96,   S35__Station1__Camera1__CAM62783__2017-04-19__23-10-54.JPG,      Male_35_1_Right,  [1104   99  931  840],0.0
97,  S35__Station33__Camera2__CAM51429__2017-04-22__08-01-10.JPG,      Male_35_1_Right,  [  53   39 1524 1070],0.0
98,   S35__Station7__Camera2__CAM62821__2017-04-07__18-51-09.JPG,      Male_35_1_Right,  [  54   70 1590 1141],0.0
99,   S7__Station20__Camera1__CAM44283__2014-07-18__05-25-54.JPG,    Female_7_16_Right,      [ 17  64 524 421],0.0
100,   S7__Station34__Camera1__CAM41968__2017-12-04__09-37-14.JPG,    Female_7_16_Right,  [1084  910  954  493],0.0
101,   S7__Station35__Camera1__CAM44211__2017-12-15__16-56-15.JPG,    Female_7_16_Right,  [  66  645 1295  554],0.0
102,   S7__Station35__Camera1__CAM44211__2017-12-15__16-56-20.JPG,    Female_7_16_Right,  [1758  751  249  293],0.0
103,   S7__Station35__Camera2__CAM41620__2017-12-06__09-09-59.JPG,    Female_7_16_Right,      [508 581 647 284],0.0
104,   S7__Station35__Camera2__CAM41620__2017-12-15__05-03-41.JPG,    Female_7_16_Right,      [558 591 648 281],0.0
105,   S7__Station35__Camera2__CAM41620__2017-12-19__04-14-25.JPG,    Female_7_16_Right,      [464 602 674 254],0.0
106,   S7__Station40__Camera1__CAM44186__2017-12-31__05-10-55.JPG,    Female_7_16_Right,  [  77  591 1539  880],0.0
107,   S7__Station40__Camera2__CAM41085__2017-12-10__13-53-39.JPG,    Female_7_16_Right,      [519 635 675 308],0.0
108,   S7__Station30__Camera1__CAM44207__2017-12-26__22-06-48.JPG,    Female_7_38_Right,  [ 367  583 1074  551],0.0
109,   S7__Station31__Camera1__CAM40135__2017-12-04__20-11-34.JPG,    Female_7_38_Right,      [187 641 981 387],0.0
110,   S7__Station31__Camera1__CAM40135__2017-12-10__21-48-41.JPG,    Female_7_38_Right,  [  30  368 1750  872],0.0
111,   S7__Station31__Camera1__CAM40135__2017-12-12__16-26-48.JPG,    Female_7_38_Right,      [358 647 746 326],0.0
112,   S7__Station31__Camera1__CAM40135__2017-12-26__18-42-47.JPG,    Female_7_38_Right,      [584 573 652 283],0.0
113,   S7__Station31__Camera1__CAM40135__2018-01-03__19-21-28.JPG,    Female_7_38_Right,      [636 647 554 180],0.0
114,   S7__Station31__Camera3__CAM43298__2017-12-31__02-22-33.JPG,    Female_7_38_Right,      [389 515 881 408],0.0
115,   S7__Station31__Camera3__CAM43298__2018-01-16__22-37-32.JPG,    Female_7_38_Right,  [1199  557  411  174],0.0
116,   S7__Station41__Camera1__CAM41318__2017-12-27__01-31-25.JPG,    Female_7_38_Right,      [538 565 666 326],0.0
117,   S9__Station39__Camera1__CAM51711__2017-02-17__15-22-31.JPG,    Female_9_12_Right,  [1265  626  237  480],0.0
118,   S9__Station39__Camera4__CAM51943__2017-04-09__08-40-42.JPG,    Female_9_12_Right,  [  69  530 1185  499],0.0
119,   S9__Station39__Camera5__CAM52118__2017-04-04__03-46-12.JPG,    Female_9_12_Right,  [  19  494 1266  651],0.0
120,    S9__Station8__Camera1__CAM51707__2017-02-28__05-10-45.JPG,    Female_9_12_Right,  [ 465  414 1053  356],0.0
121,    S9__Station8__Camera1__CAM51707__2017-03-16__06-11-19.JPG,    Female_9_12_Right,  [  77  707 1295  463],0.0
122,    S9__Station8__Camera1__CAM51707__2017-03-18__03-53-40.JPG,    Female_9_12_Right,  [ 348  712 1323  434],0.0
123,    S9__Station8__Camera2__CAM51841__2017-02-26__01-06-37.JPG,    Female_9_12_Right,  [  37  546 1408  595],0.0
124,    S9__Station8__Camera2__CAM51841__2017-03-14__23-04-43.JPG,    Female_9_12_Right,      [672 688 952 290],0.0
125,    S9__Station8__Camera2__CAM51841__2017-03-16__19-57-10.JPG,    Female_9_12_Right,      [711 716 884 287],0.0
126,   S1__Station28__Camera1__CAM43314__2017-02-14__04-34-28.JPG,    Female_1_22_Right,      [171 661 948 386],0.0
127,   S1__Station31__Camera1__CAM41318__2017-02-28__05-08-23.JPG,    Female_1_22_Right,  [1039  600  869  400],0.0
128,   S1__Station31__Camera1__CAM41318__2017-03-15__05-59-17.JPG,    Female_1_22_Right,      [329 549 827 358],0.0
129,   S1__Station31__Camera2__CAM41843__2017-03-12__19-09-38.JPG,    Female_1_22_Right,  [ 143  650 1213  589],0.0
130,   S1__Station32__Camera2__CAM40480__2017-03-12__03-51-19.JPG,    Female_1_22_Right,      [218 745 925 311],0.0
131,   S1__Station33__Camera3__CAM40491__2017-03-14__01-46-25.JPG,    Female_1_22_Right,      [304 851 976 372],0.0
132,   S1__Station31__Camera1__CAM41318__2017-02-10__18-29-58.JPG,    Female_1_22_Right,      [461 511 739 327],0.0
133,   S1__Station31__Camera1__CAM41318__2017-03-06__17-21-59.JPG,    Female_1_22_Right,      [388 553 822 378],0.0
134,   S2__Station38__Camera1__CAM44275__2017-04-25__15-54-56.JPG,      Male_2_76_Right,  [  57  627 1314  679],0.0
135,   S2__Station38__Camera1__CAM44275__2017-05-09__00-37-00.JPG,      Male_2_76_Right,  [  50  455 1454  748],0.0
136,   S2__Station40__Camera1__CAM40793__2017-04-20__04-40-53.JPG,      Male_2_76_Right,      [504 507 695 282],0.0
137,   S2__Station45__Camera1__CAM43223__2017-04-12__18-05-59.JPG,      Male_2_76_Right,      [503 561 684 328],0.0
138,   S2__Station45__Camera1__CAM43223__2017-05-12__23-53-14.JPG,      Male_2_76_Right,  [ 205  530 1222  599],0.0
139,   S2__Station45__Camera2__CAM43191__2014-06-07__03-28-40.JPG,      Male_2_76_Right,      [124 108 353 170],0.0
140,   S2__Station36__Camera2__CAM51650__2015-06-02__21-32-37.JPG,      Male_2_76_Right,      [228 227 260 111],0.0
141,   S2__Station46__Camera1__CAM41049__2016-04-19__05-40-28.JPG,      Male_2_76_Right,      [ 22 161 686 368],0.0
142,    S2__Station1__Camera1__CAM30201__2013-02-23__03-50-01.JPG,    Female_2_14_Right,      [ 15 337 396 243],0.0
143,    S2__Station8__Camera2__CAM40483__2014-06-10__03-34-35.JPG,    Female_2_14_Right,      [ 21 267 573 323],0.0
144,    S2__Station2__Camera2__CAM51696__2015-06-09__22-48-52.JPG,    Female_2_14_Right,      [ 24 227 557 301],0.0
145,    S2__Station8__Camera2__CAM41469__2017-05-05__21-40-10.JPG,    Female_2_14_Right,      [510 727 601 299],0.0
146,    S2__Station9__Camera1__CAM41558__2017-04-01__11-06-46.JPG,    Female_2_14_Right,  [1112  826  707  361],0.0
147,    S2__Station9__Camera2__CAM40182__2017-05-01__05-12-09.JPG,    Female_2_14_Right,      [420 859 741 285],0.0
148,    S2__Station9__Camera2__CAM40182__2017-05-02__17-43-05.JPG,    Female_2_14_Right,  [1081  832  819  289],0.0
149,    S4__Station6__Camera1__CAM41107__2013-08-27__03-38-06.JPG,   Female_4_123_Right,      [166 162 270 121],0.0
150,    S4__Station8__Camera2__CAM41835__2014-07-23__20-14-54.JPG,   Female_4_123_Right,      [ 19 308 424 186],0.0
151,    S4__Station5__Camera1__CAM41124__2015-05-04__18-42-50.JPG,   Female_4_123_Right,      [ 18 202 533 349],0.0
152,    S4__Station6__Camera2__CAM40771__2016-08-15__05-57-14.JPG,   Female_4_123_Right,      [181 259 284 121],0.0
153,    S4__Station4__Camera2__CAM44280__2017-07-30__20-11-41.JPG,   Female_4_123_Right,  [  55  368 1406  651],0.0
154,    S4__Station5__Camera2__CAM42283__2013-09-23__21-27-01.JPG,   Female_4_123_Right,      [147 255 271 146],0.0
155,    S4__Station5__Camera1__CAM41124__2015-05-01__06-54-56.JPG,   Female_4_123_Right,      [ 20 225 563 327],0.0
156,   S2__Station29__Camera2__CAM30845__2013-03-21__19-25-23.JPG,       Male_2_2_Right,      [ 16 217 473 250],0.0
157,   S2__Station13__Camera2__CAM42292__2014-05-24__02-49-35.JPG,       Male_2_2_Right,      [ 25 300 504 219],0.0
158,   S2__Station13__Camera1__CAM51659__2015-05-19__21-09-25.JPG,       Male_2_2_Right,      [ 18 228 504 203],0.0
159,   S2__Station13__Camera1__CAM41077__2016-04-05__14-23-38.JPG,       Male_2_2_Right,      [ 39 247 417 180],0.0
160,   S2__Station15__Camera2__CAM40821__2017-04-24__05-23-59.JPG,       Male_2_2_Right,  [  23   56 1611 1204],0.0
161,   S2__Station15__Camera2__CAM40821__2017-04-27__14-15-26.JPG,       Male_2_2_Right,  [  54  124 1684 1259],0.0
162,   S4__Station30__Camera1__CAM40191__2013-09-13__22-57-49.JPG,      Male_4_39_Right,      [ 42 217 469 215],0.0
163,    S4__Station7__Camera2__CAM40075__2014-07-15__21-46-49.JPG,      Male_4_39_Right,      [147 254 396 172],0.0
164,    S4__Station7__Camera2__CAM41721__2015-05-04__21-39-53.JPG,      Male_4_39_Right,      [ 21 208 511 263],0.0
165,    S4__Station6__Camera1__CAM42062__2016-08-23__18-57-19.JPG,      Male_4_39_Right,      [ 16 207 460 211],0.0
166,    S4__Station6__Camera2__CAM41311__2017-09-09__02-04-35.JPG,      Male_4_39_Right,  [  65  399 1207  499],0.0
167,   S4__Station27__Camera2__CAM40082__2013-10-07__20-41-46.JPG,      Male_4_39_Right,      [ 24  98 503 274],0.0
168,   S7__Station40__Camera1__CAM40149__2014-07-07__04-31-06.JPG,      Male_7_49_Right,      [ 27 121 578 315],0.0
169,   S7__Station22__Camera2__CAM40821__2018-01-04__09-29-04.JPG,      Male_7_49_Right,  [1107  648  350  303],0.0
170,   S7__Station33__Camera2__CAM44200__2017-12-17__18-58-46.JPG,      Male_7_49_Right,      [525 480 751 594],0.0
171,   S7__Station33__Camera2__CAM44200__2017-12-30__23-54-42.JPG,      Male_7_49_Right,      [513 367 628 438],0.0
172,   S7__Station41__Camera1__CAM41318__2018-01-08__06-04-31.JPG,      Male_7_49_Right,      [550 509 599 533],0.0
173,    S3__Station5__Camera1__CAM40275__2013-06-25__23-05-51.JPG,      Male_7_49_Right,      [ 80 156 409 203],0.0
174,   S1__Station18__Camera1__CAM30241__2013-06-17__00-02-10.JPG,     Female_1_1_Right,      [ 36 334 491 178],0.0
175,   S1__Station17__Camera1__CAM40828__2014-03-30__05-35-53.JPG,     Female_1_1_Right,      [397 250 402 177],0.0
176,   S1__Station26__Camera2__CAM41077__2015-02-25__03-05-47.JPG,     Female_1_1_Right,      [341 257 451 214],0.0
177,   S1__Station18__Camera1__CAM41108__2016-02-29__04-48-37.JPG,     Female_1_1_Right,      [ 10 193 534 263],0.0
178,   S1__Station14__Camera1__CAM43324__2017-02-26__23-08-11.JPG,     Female_1_1_Right,  [ 821  464 1218  443],0.0
179,   S1__Station28__Camera2__CAM44003__2017-02-15__19-18-58.JPG,      Male_1_33_Right,  [  50  573 1222  654],0.0
180,   S1__Station28__Camera2__CAM44003__2017-03-03__02-28-56.JPG,      Male_1_33_Right,  [1118  461  928  431],0.0
181,   S1__Station28__Camera3__CAM44173__2017-03-19__18-43-40.JPG,      Male_1_33_Right,  [  48  524 1319  560],0.0
182,   S1__Station31__Camera1__CAM41318__2017-03-11__05-06-31.JPG,      Male_1_33_Right,      [ 26 461 676 523],0.0
183,   S1__Station33__Camera2__CAM41469__2017-03-14__02-38-06.JPG,      Male_1_33_Right,  [  30  432 1382  939],0.0
184,   S2__Station30__Camera1__CAM30827__2013-02-17__08-40-59.JPG,    Female_2_29_Right,      [ 78 257 324 177],0.0
185,   S2__Station36__Camera1__CAM40058__2014-05-23__21-54-10.JPG,    Female_2_29_Right,      [ 56 187 432 198],0.0
186,   S2__Station45__Camera1__CAM51705__2015-05-25__04-44-50.JPG,    Female_2_29_Right,      [162 264 334 136],0.0
187,   S2__Station36__Camera1__CAM41085__2017-05-02__21-49-46.JPG,    Female_2_29_Right,      [267 621 884 490],0.0
188,   S2__Station43__Camera1__CAM44163__2017-04-14__00-11-03.JPG,    Female_2_29_Right,  [  48  469 1545  850],0.0
189,   S2__Station21__Camera2__CAM30883__2013-03-29__04-59-51.JPG,     Female_2_4_Right,      [ 19 237 456 238],0.0
190,   S2__Station15__Camera2__CAM41835__2014-05-30__02-45-49.JPG,     Female_2_4_Right,      [ 18 157 516 305],0.0
191,   S2__Station15__Camera1__CAM51682__2015-05-07__19-20-25.JPG,     Female_2_4_Right,      [ 14  70 653 360],0.0
192,   S2__Station13__Camera1__CAM41077__2016-04-23__00-01-48.JPG,     Female_2_4_Right,      [ 49 257 402 176],0.0
193,   S2__Station10__Camera1__CAM40808__2017-04-22__21-52-42.JPG,     Female_2_4_Right,      [309 559 871 415],0.0
194,    S2__Station9__Camera2__CAM30877__2013-02-19__05-02-25.JPG,    Female_2_89_Right,      [ 19 199 567 314],0.0
195,    S2__Station4__Camera1__CAM40449__2014-05-12__13-34-33.JPG,    Female_2_89_Right,      [162 251 307 128],0.0
196,    S2__Station5__Camera2__CAM51672__2015-06-14__17-37-14.JPG,    Female_2_89_Right,      [  6 276 258 201],0.0
197,    S2__Station4__Camera1__CAM44134__2016-04-26__02-49-51.JPG,    Female_2_89_Right,      [ 15 286 496 286],0.0
198,    S2__Station3__Camera2__CAM41489__2017-05-09__17-59-13.JPG,    Female_2_89_Right,      [510 506 662 277],0.0
199,  S35__Station12__Camera1__CAM62811__2017-03-13__08-36-03.JPG,      Male_35_2_Right,  [1054  584  733  378],0.0
200,  S35__Station12__Camera1__CAM62811__2017-03-21__04-36-36.JPG,      Male_35_2_Right,      [557 573 622 414],0.0
201,  S35__Station12__Camera1__CAM62811__2017-04-12__02-23-41.JPG,      Male_35_2_Right,  [1216  516  264  228],0.0
202,  S35__Station12__Camera1__CAM62811__2017-04-16__02-07-27.JPG,      Male_35_2_Right,      [581 590 617 465],0.0
203,  S35__Station20__Camera2__CAM51879__2017-03-17__07-24-29.JPG,      Male_35_2_Right,  [ 150  167 1353  780],0.0
204,    S3__Station6__Camera1__CAM40086__2013-06-17__06-18-39.JPG,     Female_3_4_Right,      [188 235 193  96],0.0
205,    S3__Station6__Camera2__CAM44182__2014-04-08__18-34-22.JPG,     Female_3_4_Right,      [ 20 183 506 226],0.0
206,   S3__Station18__Camera1__CAM40058__2015-06-25__02-53-56.JPG,     Female_3_4_Right,      [175 220 271 111],0.0
207,    S3__Station6__Camera2__CAM43306__2016-06-11__01-17-01.JPG,     Female_3_4_Right,      [  9 302 490 272],0.0
208,   S3__Station18__Camera1__CAM44207__2017-06-02__05-31-34.JPG,     Female_3_4_Right,  [ 167  447 1263  713],0.0
209,    S4__Station3__Camera1__CAM40355__2013-08-27__00-38-49.JPG,    Female_4_49_Right,      [ 21 284 516 228],0.0
210,    S4__Station3__Camera2__CAM44257__2014-07-28__02-32-07.JPG,    Female_4_49_Right,      [ 40 146 484 196],0.0
211,    S4__Station3__Camera2__CAM40449__2015-05-07__23-20-34.JPG,    Female_4_49_Right,      [ 16 241 483 191],0.0
212,    S4__Station7__Camera2__CAM40491__2016-08-18__17-12-22.JPG,    Female_4_49_Right,      [185 202 262 122],0.0
213,    S4__Station7__Camera2__CAM40808__2017-08-11__07-27-21.JPG,    Female_4_49_Right,      [637 504 264 241],0.0
214,   S4__Station27__Camera1__CAM40327__2013-10-01__01-58-39.JPG,    Female_4_77_Right,      [ 15 243 539 242],0.0
215,   S4__Station22__Camera1__CAM44214__2014-07-02__18-06-54.JPG,    Female_4_77_Right,      [ 18 100 490 261],0.0
216,   S4__Station24__Camera1__CAM41107__2015-04-22__05-10-34.JPG,    Female_4_77_Right,      [ 17 203 447 207],0.0
